ONSKID,,,,,,,OFFSKID,,,,,,,NEW,,,,,,,NON-TESTED,,,,,,,,
,,,Plan,Act,,,,,,Plan,Act,,,,,,Plan,Act,,,,,,Plan,Act,,,,
,,NP,27,26,,,,,NP,4,4,,,,,NP,0,0,,,,,NP,2,2,,,,
,,AM,0,0,,,,,AM,6,2,,,,,AM,1,1,,,,,AM,0,0,,,,
,,NP_E,0,0,,,,,NP_E,0,0,,,,,NP_E,0,0,,,,,NP_E,0,0,,,,
,,AM_E,0,0,,,,,AM_E,0,0,,,,,AM_E,0,0,,,,,AM_E,0,0,,,,
,,Total,27,26,,,,,Total,10,6,,,,,Total,1,1,,,,,Total,2,2,,,,
"PROJECT
","UNIT
","PD#
",NP/AM,Date,Comp,,"PROJECT
","UNIT
","PD#
",NP/AM,Date,Comp,,"PROJECT
","UNIT
","PD#
",NP/AM,Date,Comp,,"PROJECT
","UNIT
","PD#
",NP/AM,Date,Comp,,,
SR-COLE,1,2-4M082,NP,4-Apr,X,,BOC-WQ1 SC,1,2-4L228CS,AM,9-Apr,X,,EMMC,1,2-J1600CC,AM,14-Apr,X,,ENI-K,1,2-4M511,NP,3-Apr,x,,,
STOCK2,1,2-ANG02,NP,3-Apr,X,,SHWE-P4,1,2-4M181,NP,21-Apr,X,,,,,,,,,ENI-K,2,2-4M511,NP,10-Apr,X,,,
SOU-FLN,1,2-4N171,NP,3-Apr,X,,SHL-GMG,1,2-4M401,NP,10-Apr,X,,,,,,,,,,,,,,,,,
PROP-88,1,2-4M191,NP,6-Apr,X,,SHL-GMG,2,2-4M401,NP,15-Apr,X,,,,,,,,,,,,,,,,,
STOCK,1,2-ANG01,NP,10-Apr,X,,PSX-GLDSC STAT,1,2-4N298CS,AM,21-Apr,X,,,,,,,,,,,,,,,,,
STOCK2,2,2-ANG02,NP,13-Apr,X,,NOC 130,3,2-G9440CC,AM,,,,,,,,,,,,,,,,,,,
WP-AD,1,2-4M031,NP,9-Apr,X,,SHL-GMG,3,2-4M401,NP,30-Apr,X,,,,,,,,,,,,,,,,,
SR-SEEP,1,2-4M071,NP,20-Apr,X,,TALOS EW1003,1,2-J1640CC,AM,,,,,,,,,,,,,,,,,,,
STOCK,2,2-ANG01,NP,13-Apr,X,,TALOS EW1003,2,2-J1640CC,AM,,,,,,,,,,,,,,,,,,,
STOCK,3,2-ANG01,NP,15-Apr,X,,LT2E-SC,1,2-4M368CS,AM,,,,,,,,,,,,,,,,,,,
STOCK,4,2-ANG01,NP,14-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
PROP-89,1,2-4M201,NP,16-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
WP-AD,2,2-4M031,NP,18-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
TRP-FA2,1,2-4N092,NP,10-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
MER-SOL,11,2-4M371,NP,17-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
STOCK,5,2-ANG01,NP,17-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
ET-TRI,2,2-4M481,NP,8-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
PROP-90,1,2-4M211,NP,,,,,,,,,,,,,,,,,,,,,,,,,,
TRP-FA3,1,2-4N093,NP,20-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
STOCK,6,2-ANG01,NP,22-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
STOCK2,3,2-ANG02,NP,23-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
TRP-NAU,1,2-4M575,NP,23-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
S60-86,1,2-4N671,NP,29-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
S60-87,1,2-4N681,NP,28-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOCK2,4,2-ANG02,NP,24-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
S60-88,1,2-4N691,NP,30-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
S60-89,1,2-4N701,NP,29-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Exits Not In Monthly Plan,,,,,,,Additional Exits Not In Monthly Plan,,,,,,,Additional Exits Not In Monthly Plan,,,,,,,Additional Exits Not In Monthly Plan,,,,,,,,
TRP-NWY,1,2-4M576,NP,30-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
MER-SOL,12,2-4M371,NP,30-Apr,X,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units Exited that were Originally Held Due to Shortage (Not In Monthly Plan),,,,,,,Units Exited that were Originally Held Due to Shortage (Not In Monthly Plan),,,,,,,Units Exited that were Originally Held Due to Shortage (Not In Monthly Plan),,,,,,,Units Exited that were Originally Held Due to Shortage (Not In Monthly Plan),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
